dim0,dim1,dim2,dim3,dim4,geo,year,value
A,TO_EMP,EMP_FT,F,PC,BE,2006,94.8
A,TO_EMP,EMP_FT,F,PC,BG,2006,91.4
A,TO_EMP,EMP_FT,F,PC,CH,2006,
A,TO_EMP,EMP_FT,F,PC,CY,2006,94.6
A,TO_EMP,EMP_FT,F,PC,CZ,2006,92.2
A,TO_EMP,EMP_FT,F,PC,DE,2006,93.7
A,TO_EMP,EMP_FT,F,PC,DK,2006,92.6
A,TO_EMP,EMP_FT,F,PC,EA,2006,91.3
A,TO_EMP,EMP_FT,F,PC,EA18,2006,91.3
A,TO_EMP,EMP_FT,F,PC,EA19,2006,91.3
A,TO_EMP,EMP_FT,F,PC,EA20,2006,
A,TO_EMP,EMP_FT,F,PC,EE,2006,93.6
A,TO_EMP,EMP_FT,F,PC,EL,2006,81.6
A,TO_EMP,EMP_FT,F,PC,ES,2006,87.1
A,TO_EMP,EMP_FT,F,PC,EU,2006,91.9
A,TO_EMP,EMP_FT,F,PC,EU27_2007,2006,91.9
A,TO_EMP,EMP_FT,F,PC,EU27_2020,2006,91.8
A,TO_EMP,EMP_FT,F,PC,EU28,2006,91.9
A,TO_EMP,EMP_FT,F,PC,FI,2006,88.7
A,TO_EMP,EMP_FT,F,PC,FR,2006,94.5
A,TO_EMP,EMP_FT,F,PC,HR,2006,89.8
A,TO_EMP,EMP_FT,F,PC,HU,2006,91.8
A,TO_EMP,EMP_FT,F,PC,IE,2006,92.1
A,TO_EMP,EMP_FT,F,PC,IS,2006,92.4
A,TO_EMP,EMP_FT,F,PC,IT,2006,87.7
A,TO_EMP,EMP_FT,F,PC,LT,2006,93.5
A,TO_EMP,EMP_FT,F,PC,LU,2006,92.6
A,TO_EMP,EMP_FT,F,PC,LV,2006,88.8
A,TO_EMP,EMP_FT,F,PC,ME,2006,
A,TO_EMP,EMP_FT,F,PC,MK,2006,
A,TO_EMP,EMP_FT,F,PC,MT,2006,96.2
A,TO_EMP,EMP_FT,F,PC,NL,2006,96.6
A,TO_EMP,EMP_FT,F,PC,NO,2006,95.2
A,TO_EMP,EMP_FT,F,PC,PL,2006,92.2
A,TO_EMP,EMP_FT,F,PC,PT,2006,92.5
A,TO_EMP,EMP_FT,F,PC,RO,2006,96.1
A,TO_EMP,EMP_FT,F,PC,RS,2006,
A,TO_EMP,EMP_FT,F,PC,SE,2006,94.5
